cliente_id,nombre,correo,fecha_registro,estado
35,Cliente 35,cliente35@poc.local,2024-02-04,ACTIVO
36,Cliente 36,cliente36@poc.local,2024-02-05,ACTIVO
37,Cliente 37,cliente37@poc.local,2024-02-06,ACTIVO
38,Cliente 38,cliente38@poc.local,2024-02-07,ACTIVO
39,Cliente 39,cliente39@poc.local,2024-02-08,ACTIVO
40,Cliente 40,cliente40@poc.local,2024-02-09,SUSPENDIDO
41,Cliente 41,cliente41@poc.local,2024-02-10,ACTIVO
42,Cliente 42,cliente42@poc.local,2024-02-11,ACTIVO
43,Cliente 43,cliente43@poc.local,2024-02-12,ACTIVO
44,Cliente 44,cliente44@poc.local,2024-02-13,ACTIVO
45,Cliente 45,cliente45@poc.local,2024-02-14,ACTIVO
46,Cliente 46,cliente46@poc.local,2024-02-15,ACTIVO
47,Cliente 47,cliente47@poc.local,2024-02-16,ACTIVO
48,Cliente 48,cliente48@poc.local,2024-02-17,ACTIVO
49,Cliente 49,cliente49@poc.local,2024-02-18,ACTIVO
50,Cliente 50,cliente50@poc.local,2024-02-19,INACTIVO
51,Cliente 51,cliente51@poc.local,2024-02-20,ACTIVO
52,Cliente 52,cliente52@poc.local,2024-02-21,ACTIVO
53,Cliente 53,cliente53@poc.local,2024-02-22,ACTIVO
54,Cliente 54,cliente54@poc.local,2024-02-23,ACTIVO
55,Cliente 55,cliente55@poc.local,2024-02-24,ACTIVO
56,Cliente 56,cliente56@poc.local,2024-02-25,ACTIVO
57,Cliente 57,cliente57@poc.local,2024-02-26,ACTIVO
58,Cliente 58,cliente58@poc.local,2024-02-27,ACTIVO
59,Cliente 59,cliente59@poc.local,2024-02-28,ACTIVO
60,Cliente 60,cliente60@poc.local,2024-02-29,SUSPENDIDO
61,Cliente 61,cliente61@poc.local,2024-03-01,ACTIVO
62,Cliente 62,cliente62@poc.local,2024-03-02,ACTIVO
63,Cliente 63,cliente63@poc.local,2024-03-03,ACTIVO
64,Cliente 64,cliente64@poc.local,2024-03-04,ACTIVO
65,Cliente 65,cliente65@poc.local,2024-03-05,ACTIVO
66,Cliente 66,cliente66@poc.local,2024-03-06,ACTIVO
67,Cliente 67,cliente67@poc.local,2024-03-07,ACTIVO
68,Cliente 68,cliente68@poc.local,2024-03-08,ACTIVO
69,Cliente 69,cliente69@poc.local,2024-03-09,ACTIVO
70,Cliente 70,cliente70@poc.local,2024-03-10,INACTIVO
71,Cliente 71,cliente71@poc.local,2024-03-11,ACTIVO
72,Cliente 72,cliente72@poc.local,2024-03-12,ACTIVO
73,Cliente 73,cliente73@poc.local,2024-03-13,ACTIVO
74,Cliente 74,cliente74@poc.local,2024-03-14,ACTIVO
75,Cliente 75,cliente75@poc.local,2024-03-15,ACTIVO
76,Cliente 76,cliente76@poc.local,2024-03-16,ACTIVO
77,Cliente 77,cliente77@poc.local,2024-03-17,ACTIVO
78,Cliente 78,cliente78@poc.local,2024-03-18,ACTIVO
79,Cliente 79,cliente79@poc.local,2024-03-19,ACTIVO
80,Cliente 80,cliente80@poc.local,2024-03-20,SUSPENDIDO
81,Cliente 81,cliente81@poc.local,2024-03-21,ACTIVO
82,Cliente 82,cliente82@poc.local,2024-03-22,ACTIVO
83,Cliente 83,cliente83@poc.local,2024-03-23,ACTIVO
84,Cliente 84,cliente84@poc.local,2024-03-24,ACTIVO
85,Cliente 85,cliente85@poc.local,2024-03-25,ACTIVO
86,Cliente 86,cliente86@poc.local,2024-03-26,ACTIVO
87,Cliente 87,cliente87@poc.local,2024-03-27,ACTIVO
88,Cliente 88,cliente88@poc.local,2024-03-28,ACTIVO
89,Cliente 89,cliente89@poc.local,2024-03-29,ACTIVO
90,Cliente 90,cliente90@poc.local,2024-03-30,INACTIVO
91,Cliente 91,cliente91@poc.local,2024-03-31,ACTIVO
92,Cliente 92,cliente92@poc.local,2024-04-01,ACTIVO
93,Cliente 93,cliente93@poc.local,2024-04-02,ACTIVO
94,Cliente 94,cliente94@poc.local,2024-04-03,ACTIVO
95,Cliente 95,cliente95@poc.local,2024-04-04,ACTIVO
96,Cliente 96,cliente96@poc.local,2024-04-05,ACTIVO
97,Cliente 97,cliente97@poc.local,2024-04-06,ACTIVO
98,Cliente 98,cliente98@poc.local,2024-04-07,ACTIVO
99,Cliente 99,cliente99@poc.local,2024-04-08,ACTIVO
100,Cliente 100,cliente100@poc.local,2024-04-09,SUSPENDIDO
101,Cliente 101,cliente101@poc.local,2024-04-10,ACTIVO
102,Cliente 102,cliente102@poc.local,2024-04-11,ACTIVO
103,Cliente 103,cliente103@poc.local,2024-04-12,ACTIVO
104,Cliente 104,cliente104@poc.local,2024-04-13,ACTIVO
105,Cliente 105,cliente105@poc.local,2024-04-14,ACTIVO
106,Cliente 106,cliente106@poc.local,2024-04-15,ACTIVO
107,Cliente 107,cliente107@poc.local,2024-04-16,ACTIVO
108,Cliente 108,cliente108@poc.local,2024-04-17,ACTIVO
109,Cliente 109,cliente109@poc.local,2024-04-18,ACTIVO
110,Cliente 110,cliente110@poc.local,2024-04-19,INACTIVO
111,Cliente 111,cliente111@poc.local,2024-04-20,ACTIVO
112,Cliente 112,cliente112@poc.local,2024-04-21,ACTIVO
113,Cliente 113,cliente113@poc.local,2024-04-22,ACTIVO
114,Cliente 114,cliente114@poc.local,2024-04-23,ACTIVO
115,Cliente 115,cliente115@poc.local,2024-04-24,ACTIVO
116,Cliente 116,cliente116@poc.local,2024-04-25,ACTIVO
117,Cliente 117,cliente117@poc.local,2024-04-26,ACTIVO
118,Cliente 118,cliente118@poc.local,2024-04-27,ACTIVO
119,Cliente 119,cliente119@poc.local,2024-04-28,ACTIVO
120,Cliente 120,cliente120@poc.local,2024-04-29,SUSPENDIDO
121,Cliente 121,cliente121@poc.local,2024-04-30,ACTIVO
122,Cliente 122,cliente122@poc.local,2024-05-01,ACTIVO
123,Cliente 123,cliente123@poc.local,2024-05-02,ACTIVO
124,Cliente 124,cliente124@poc.local,2024-05-03,ACTIVO
125,Cliente 125,cliente125@poc.local,2024-05-04,ACTIVO
126,Cliente 126,cliente126@poc.local,2024-05-05,ACTIVO
127,Cliente 127,cliente127@poc.local,2024-05-06,ACTIVO
128,Cliente 128,cliente128@poc.local,2024-05-07,ACTIVO
129,Cliente 129,cliente129@poc.local,2024-05-08,ACTIVO
130,Cliente 130,cliente130@poc.local,2024-05-09,INACTIVO
131,Cliente 131,cliente131@poc.local,2024-05-10,ACTIVO
132,Cliente 132,cliente132@poc.local,2024-05-11,ACTIVO
133,Cliente 133,cliente133@poc.local,2024-05-12,ACTIVO
134,Cliente 134,cliente134@poc.local,2024-05-13,ACTIVO
135,Cliente 135,cliente135@poc.local,2024-05-14,ACTIVO
136,Cliente 136,cliente136@poc.local,2024-05-15,ACTIVO
137,Cliente 137,cliente137@poc.local,2024-05-16,ACTIVO
138,Cliente 138,cliente138@poc.local,2024-05-17,ACTIVO
139,Cliente 139,cliente139@poc.local,2024-05-18,ACTIVO
140,Cliente 140,cliente140@poc.local,2024-05-19,SUSPENDIDO
141,Cliente 141,cliente141@poc.local,2024-05-20,ACTIVO
142,Cliente 142,cliente142@poc.local,2024-05-21,ACTIVO
143,Cliente 143,cliente143@poc.local,2024-05-22,ACTIVO
144,Cliente 144,cliente144@poc.local,2024-05-23,ACTIVO
145,Cliente 145,cliente145@poc.local,2024-05-24,ACTIVO
146,Cliente 146,cliente146@poc.local,2024-05-25,ACTIVO
147,Cliente 147,cliente147@poc.local,2024-05-26,ACTIVO
148,Cliente 148,cliente148@poc.local,2024-05-27,ACTIVO
149,Cliente 149,cliente149@poc.local,2024-05-28,ACTIVO
150,Cliente 150,cliente150@poc.local,2024-05-29,INACTIVO
151,Cliente 151,cliente151@poc.local,2024-05-30,ACTIVO
152,Cliente 152,cliente152@poc.local,2024-05-31,ACTIVO
153,Cliente 153,cliente153@poc.local,2024-06-01,ACTIVO
154,Cliente 154,cliente154@poc.local,2024-06-02,ACTIVO
155,Cliente 155,cliente155@poc.local,2024-06-03,ACTIVO
156,Cliente 156,cliente156@poc.local,2024-06-04,ACTIVO
157,Cliente 157,cliente157@poc.local,2024-06-05,ACTIVO
158,Cliente 158,cliente158@poc.local,2024-06-06,ACTIVO
159,Cliente 159,cliente159@poc.local,2024-06-07,ACTIVO
160,Cliente 160,cliente160@poc.local,2024-06-08,SUSPENDIDO
161,Cliente 161,cliente161@poc.local,2024-06-09,ACTIVO
162,Cliente 162,cliente162@poc.local,2024-06-10,ACTIVO
163,Cliente 163,cliente163@poc.local,2024-06-11,ACTIVO
164,Cliente 164,cliente164@poc.local,2024-06-12,ACTIVO
165,Cliente 165,cliente165@poc.local,2024-06-13,ACTIVO
166,Cliente 166,cliente166@poc.local,2024-06-14,ACTIVO
167,Cliente 167,cliente167@poc.local,2024-06-15,ACTIVO
168,Cliente 168,cliente168@poc.local,2024-06-16,ACTIVO
169,Cliente 169,cliente169@poc.local,2024-06-17,ACTIVO
170,Cliente 170,cliente170@poc.local,2024-06-18,INACTIVO
171,Cliente 171,cliente171@poc.local,2024-06-19,ACTIVO
172,Cliente 172,cliente172@poc.local,2024-06-20,ACTIVO
173,Cliente 173,cliente173@poc.local,2024-06-21,ACTIVO
174,Cliente 174,cliente174@poc.local,2024-06-22,ACTIVO
175,Cliente 175,cliente175@poc.local,2024-06-23,ACTIVO
176,Cliente 176,cliente176@poc.local,2024-06-24,ACTIVO
177,Cliente 177,cliente177@poc.local,2024-06-25,ACTIVO
178,Cliente 178,cliente178@poc.local,2024-06-26,ACTIVO
179,Cliente 179,cliente179@poc.local,2024-06-27,ACTIVO
180,Cliente 180,cliente180@poc.local,2024-06-28,SUSPENDIDO
181,Cliente 181,cliente181@poc.local,2024-06-29,ACTIVO
182,Cliente 182,cliente182@poc.local,2024-06-30,ACTIVO
183,Cliente 183,cliente183@poc.local,2024-07-01,ACTIVO
184,Cliente 184,cliente184@poc.local,2024-07-02,ACTIVO
185,Cliente 185,cliente185@poc.local,2024-07-03,ACTIVO
186,Cliente 186,cliente186@poc.local,2024-07-04,ACTIVO
187,Cliente 187,cliente187@poc.local,2024-07-05,ACTIVO
188,Cliente 188,cliente188@poc.local,2024-07-06,ACTIVO
189,Cliente 189,cliente189@poc.local,2024-07-07,ACTIVO
190,Cliente 190,cliente190@poc.local,2024-07-08,INACTIVO
191,Cliente 191,cliente191@poc.local,2024-07-09,ACTIVO
192,Cliente 192,cliente192@poc.local,2024-07-10,ACTIVO
193,Cliente 193,cliente193@poc.local,2024-07-11,ACTIVO
194,Cliente 194,cliente194@poc.local,2024-07-12,ACTIVO
195,Cliente 195,cliente195@poc.local,2024-07-13,ACTIVO
196,Cliente 196,cliente196@poc.local,2024-07-14,ACTIVO
197,Cliente 197,cliente197@poc.local,2024-07-15,ACTIVO
198,Cliente 198,cliente198@poc.local,2024-07-16,ACTIVO
199,Cliente 199,cliente199@poc.local,2024-07-17,ACTIVO
200,Cliente 200,cliente200@poc.local,2024-07-18,SUSPENDIDO
201,Cliente 201,cliente201@poc.local,2024-07-19,ACTIVO
202,Cliente 202,cliente202@poc.local,2024-07-20,ACTIVO
203,Cliente 203,cliente203@poc.local,2024-07-21,ACTIVO
204,Cliente 204,cliente204@poc.local,2024-07-22,ACTIVO
205,Cliente 205,cliente205@poc.local,2024-07-23,ACTIVO
206,Cliente 206,cliente206@poc.local,2024-07-24,ACTIVO
207,Cliente 207,cliente207@poc.local,2024-07-25,ACTIVO
208,Cliente 208,cliente208@poc.local,2024-07-26,ACTIVO
209,Cliente 209,cliente209@poc.local,2024-07-27,ACTIVO
210,Cliente 210,cliente210@poc.local,2024-07-28,INACTIVO
211,Cliente 211,cliente211@poc.local,2024-07-29,ACTIVO
212,Cliente 212,cliente212@poc.local,2024-07-30,ACTIVO
213,Cliente 213,cliente213@poc.local,2024-07-31,ACTIVO
214,Cliente 214,cliente214@poc.local,2024-08-01,ACTIVO
215,Cliente 215,cliente215@poc.local,2024-08-02,ACTIVO
216,Cliente 216,cliente216@poc.local,2024-08-03,ACTIVO
217,Cliente 217,cliente217@poc.local,2024-08-04,ACTIVO
218,Cliente 218,cliente218@poc.local,2024-08-05,ACTIVO
219,Cliente 219,cliente219@poc.local,2024-08-06,ACTIVO
220,Cliente 220,cliente220@poc.local,2024-08-07,SUSPENDIDO
221,Cliente 221,cliente221@poc.local,2024-08-08,ACTIVO
222,Cliente 222,cliente222@poc.local,2024-08-09,ACTIVO
223,Cliente 223,cliente223@poc.local,2024-08-10,ACTIVO
224,Cliente 224,cliente224@poc.local,2024-08-11,ACTIVO
225,Cliente 225,cliente225@poc.local,2024-08-12,ACTIVO
226,Cliente 226,cliente226@poc.local,2024-08-13,ACTIVO
227,Cliente 227,cliente227@poc.local,2024-08-14,ACTIVO
228,Cliente 228,cliente228@poc.local,2024-08-15,ACTIVO
229,Cliente 229,cliente229@poc.local,2024-08-16,ACTIVO
230,Cliente 230,cliente230@poc.local,2024-08-17,INACTIVO
231,Cliente 231,cliente231@poc.local,2024-08-18,ACTIVO
232,Cliente 232,cliente232@poc.local,2024-08-19,ACTIVO
233,Cliente 233,cliente233@poc.local,2024-08-20,ACTIVO
234,Cliente 234,cliente234@poc.local,2024-08-21,ACTIVO
235,Cliente 235,cliente235@poc.local,2024-08-22,ACTIVO
236,Cliente 236,cliente236@poc.local,2024-08-23,ACTIVO
237,Cliente 237,cliente237@poc.local,2024-08-24,ACTIVO
238,Cliente 238,cliente238@poc.local,2024-08-25,ACTIVO
239,Cliente 239,cliente239@poc.local,2024-08-26,ACTIVO
240,Cliente 240,cliente240@poc.local,2024-08-27,SUSPENDIDO
241,Cliente 241,cliente241@poc.local,2024-08-28,ACTIVO
242,Cliente 242,cliente242@poc.local,2024-08-29,ACTIVO
243,Cliente 243,cliente243@poc.local,2024-08-30,ACTIVO
244,Cliente 244,cliente244@poc.local,2024-08-31,ACTIVO
245,Cliente 245,cliente245@poc.local,2024-09-01,ACTIVO
246,Cliente 246,cliente246@poc.local,2024-09-02,ACTIVO
247,Cliente 247,cliente247@poc.local,2024-09-03,ACTIVO
248,Cliente 248,cliente248@poc.local,2024-09-04,ACTIVO
249,Cliente 249,cliente249@poc.local,2024-09-05,ACTIVO
250,Cliente 250,cliente250@poc.local,2024-09-06,INACTIVO
251,Cliente 251,cliente251@poc.local,2024-09-07,ACTIVO
252,Cliente 252,cliente252@poc.local,2024-09-08,ACTIVO
253,Cliente 253,cliente253@poc.local,2024-09-09,ACTIVO
254,Cliente 254,cliente254@poc.local,2024-09-10,ACTIVO
255,Cliente 255,cliente255@poc.local,2024-09-11,ACTIVO
256,Cliente 256,cliente256@poc.local,2024-09-12,ACTIVO
257,Cliente 257,cliente257@poc.local,2024-09-13,ACTIVO
258,Cliente 258,cliente258@poc.local,2024-09-14,ACTIVO
259,Cliente 259,cliente259@poc.local,2024-09-15,ACTIVO
260,Cliente 260,cliente260@poc.local,2024-09-16,SUSPENDIDO
261,Cliente 261,cliente261@poc.local,2024-09-17,ACTIVO
262,Cliente 262,cliente262@poc.local,2024-09-18,ACTIVO
263,Cliente 263,cliente263@poc.local,2024-09-19,ACTIVO
264,Cliente 264,cliente264@poc.local,2024-09-20,ACTIVO
265,Cliente 265,cliente265@poc.local,2024-09-21,ACTIVO
266,Cliente 266,cliente266@poc.local,2024-09-22,ACTIVO
267,Cliente 267,cliente267@poc.local,2024-09-23,ACTIVO
268,Cliente 268,cliente268@poc.local,2024-09-24,ACTIVO
269,Cliente 269,cliente269@poc.local,2024-09-25,ACTIVO
270,Cliente 270,cliente270@poc.local,2024-09-26,INACTIVO
271,Cliente 271,cliente271@poc.local,2024-09-27,ACTIVO
272,Cliente 272,cliente272@poc.local,2024-09-28,ACTIVO
273,Cliente 273,cliente273@poc.local,2024-09-29,ACTIVO
274,Cliente 274,cliente274@poc.local,2024-09-30,ACTIVO
275,Cliente 275,cliente275@poc.local,2024-10-01,ACTIVO
276,Cliente 276,cliente276@poc.local,2024-10-02,ACTIVO
277,Cliente 277,cliente277@poc.local,2024-10-03,ACTIVO
278,Cliente 278,cliente278@poc.local,2024-10-04,ACTIVO
279,Cliente 279,cliente279@poc.local,2024-10-05,ACTIVO
280,Cliente 280,cliente280@poc.local,2024-10-06,SUSPENDIDO
281,Cliente 281,cliente281@poc.local,2024-10-07,ACTIVO
282,Cliente 282,cliente282@poc.local,2024-10-08,ACTIVO
283,Cliente 283,cliente283@poc.local,2024-10-09,ACTIVO
284,Cliente 284,cliente284@poc.local,2024-10-10,ACTIVO
285,Cliente 285,cliente285@poc.local,2024-10-11,ACTIVO
286,Cliente 286,cliente286@poc.local,2024-10-12,ACTIVO
287,Cliente 287,cliente287@poc.local,2024-10-13,ACTIVO
288,Cliente 288,cliente288@poc.local,2024-10-14,ACTIVO
289,Cliente 289,cliente289@poc.local,2024-10-15,ACTIVO
290,Cliente 290,cliente290@poc.local,2024-10-16,INACTIVO
291,Cliente 291,cliente291@poc.local,2024-10-17,ACTIVO
292,Cliente 292,cliente292@poc.local,2024-10-18,ACTIVO
293,Cliente 293,cliente293@poc.local,2024-10-19,ACTIVO
294,Cliente 294,cliente294@poc.local,2024-10-20,ACTIVO
295,Cliente 295,cliente295@poc.local,2024-10-21,ACTIVO
296,Cliente 296,cliente296@poc.local,2024-10-22,ACTIVO
297,Cliente 297,cliente297@poc.local,2024-10-23,ACTIVO
298,Cliente 298,cliente298@poc.local,2024-10-24,ACTIVO
299,Cliente 299,cliente299@poc.local,2024-10-25,ACTIVO
300,Cliente 300,cliente300@poc.local,2024-10-26,SUSPENDIDO
301,Cliente 301,cliente301@poc.local,2024-10-27,ACTIVO
302,Cliente 302,cliente302@poc.local,2024-10-28,ACTIVO
303,Cliente 303,cliente303@poc.local,2024-10-29,ACTIVO
304,Cliente 304,cliente304@poc.local,2024-10-30,ACTIVO
305,Cliente 305,cliente305@poc.local,2024-10-31,ACTIVO
306,Cliente 306,cliente306@poc.local,2024-11-01,ACTIVO
307,Cliente 307,cliente307@poc.local,2024-11-02,ACTIVO
308,Cliente 308,cliente308@poc.local,2024-11-03,ACTIVO
309,Cliente 309,cliente309@poc.local,2024-11-04,ACTIVO
310,Cliente 310,cliente310@poc.local,2024-11-05,INACTIVO
311,Cliente 311,cliente311@poc.local,2024-11-06,ACTIVO
312,Cliente 312,cliente312@poc.local,2024-11-07,ACTIVO
313,Cliente 313,cliente313@poc.local,2024-11-08,ACTIVO
314,Cliente 314,cliente314@poc.local,2024-11-09,ACTIVO
315,Cliente 315,cliente315@poc.local,2024-11-10,ACTIVO
316,Cliente 316,cliente316@poc.local,2024-11-11,ACTIVO
317,Cliente 317,cliente317@poc.local,2024-11-12,ACTIVO
318,Cliente 318,cliente318@poc.local,2024-11-13,ACTIVO
319,Cliente 319,cliente319@poc.local,2024-11-14,ACTIVO
320,Cliente 320,cliente320@poc.local,2024-11-15,SUSPENDIDO
321,Cliente 321,cliente321@poc.local,2024-11-16,ACTIVO
322,Cliente 322,cliente322@poc.local,2024-11-17,ACTIVO
323,Cliente 323,cliente323@poc.local,2024-11-18,ACTIVO
324,Cliente 324,cliente324@poc.local,2024-11-19,ACTIVO
325,Cliente 325,cliente325@poc.local,2024-11-20,ACTIVO
326,Cliente 326,cliente326@poc.local,2024-11-21,ACTIVO
327,Cliente 327,cliente327@poc.local,2024-11-22,ACTIVO
328,Cliente 328,cliente328@poc.local,2024-11-23,ACTIVO
329,Cliente 329,cliente329@poc.local,2024-11-24,ACTIVO
330,Cliente 330,cliente330@poc.local,2024-11-25,INACTIVO
331,Cliente 331,cliente331@poc.local,2024-11-26,ACTIVO
332,Cliente 332,cliente332@poc.local,2024-11-27,ACTIVO
333,Cliente 333,cliente333@poc.local,2024-11-28,ACTIVO
334,Cliente 334,cliente334@poc.local,2024-11-29,ACTIVO
335,Cliente 335,cliente335@poc.local,2024-11-30,ACTIVO
336,Cliente 336,cliente336@poc.local,2024-12-01,ACTIVO
337,Cliente 337,cliente337@poc.local,2024-12-02,ACTIVO
338,Cliente 338,cliente338@poc.local,2024-12-03,ACTIVO
339,Cliente 339,cliente339@poc.local,2024-12-04,ACTIVO
340,Cliente 340,cliente340@poc.local,2024-12-05,SUSPENDIDO
341,Cliente 341,cliente341@poc.local,2024-12-06,ACTIVO
342,Cliente 342,cliente342@poc.local,2024-12-07,ACTIVO
343,Cliente 343,cliente343@poc.local,2024-12-08,ACTIVO
344,Cliente 344,cliente344@poc.local,2024-12-09,ACTIVO
345,Cliente 345,cliente345@poc.local,2024-12-10,ACTIVO
346,Cliente 346,cliente346@poc.local,2024-12-11,ACTIVO
347,Cliente 347,cliente347@poc.local,2024-12-12,ACTIVO
348,Cliente 348,cliente348@poc.local,2024-12-13,ACTIVO
349,Cliente 349,cliente349@poc.local,2024-12-14,ACTIVO
350,Cliente 350,cliente350@poc.local,2024-12-15,INACTIVO
351,Cliente 351,cliente351@poc.local,2024-12-16,ACTIVO
352,Cliente 352,cliente352@poc.local,2024-12-17,ACTIVO
353,Cliente 353,cliente353@poc.local,2024-12-18,ACTIVO
354,Cliente 354,cliente354@poc.local,2024-12-19,ACTIVO
355,Cliente 355,cliente355@poc.local,2024-12-20,ACTIVO
356,Cliente 356,cliente356@poc.local,2024-12-21,ACTIVO
357,Cliente 357,cliente357@poc.local,2024-12-22,ACTIVO
358,Cliente 358,cliente358@poc.local,2024-12-23,ACTIVO
359,Cliente 359,cliente359@poc.local,2024-12-24,ACTIVO
360,Cliente 360,cliente360@poc.local,2024-12-25,SUSPENDIDO
361,Cliente 361,cliente361@poc.local,2024-12-26,ACTIVO
362,Cliente 362,cliente362@poc.local,2024-12-27,ACTIVO
363,Cliente 363,cliente363@poc.local,2024-12-28,ACTIVO
364,Cliente 364,cliente364@poc.local,2024-12-29,ACTIVO
365,Cliente 365,cliente365@poc.local,2024-12-30,ACTIVO
366,Cliente 366,cliente366@poc.local,2024-12-31,ACTIVO
367,Cliente 367,cliente367@poc.local,2025-01-01,ACTIVO
368,Cliente 368,cliente368@poc.local,2025-01-02,ACTIVO
369,Cliente 369,cliente369@poc.local,2025-01-03,ACTIVO
370,Cliente 370,cliente370@poc.local,2025-01-04,INACTIVO
371,Cliente 371,cliente371@poc.local,2025-01-05,ACTIVO
372,Cliente 372,cliente372@poc.local,2025-01-06,ACTIVO
373,Cliente 373,cliente373@poc.local,2025-01-07,ACTIVO
374,Cliente 374,cliente374@poc.local,2025-01-08,ACTIVO
375,Cliente 375,cliente375@poc.local,2025-01-09,ACTIVO
376,Cliente 376,cliente376@poc.local,2025-01-10,ACTIVO
377,Cliente 377,cliente377@poc.local,2025-01-11,ACTIVO
378,Cliente 378,cliente378@poc.local,2025-01-12,ACTIVO
379,Cliente 379,cliente379@poc.local,2025-01-13,ACTIVO
380,Cliente 380,cliente380@poc.local,2025-01-14,SUSPENDIDO
381,Cliente 381,cliente381@poc.local,2025-01-15,ACTIVO
382,Cliente 382,cliente382@poc.local,2025-01-16,ACTIVO
383,Cliente 383,cliente383@poc.local,2025-01-17,ACTIVO
384,Cliente 384,cliente384@poc.local,2025-01-18,ACTIVO
385,Cliente 385,cliente385@poc.local,2025-01-19,ACTIVO
386,Cliente 386,cliente386@poc.local,2025-01-20,ACTIVO
387,Cliente 387,cliente387@poc.local,2025-01-21,ACTIVO
388,Cliente 388,cliente388@poc.local,2025-01-22,ACTIVO
389,Cliente 389,cliente389@poc.local,2025-01-23,ACTIVO
390,Cliente 390,cliente390@poc.local,2025-01-24,INACTIVO
391,Cliente 391,cliente391@poc.local,2025-01-25,ACTIVO
392,Cliente 392,cliente392@poc.local,2025-01-26,ACTIVO
393,Cliente 393,cliente393@poc.local,2025-01-27,ACTIVO
394,Cliente 394,cliente394@poc.local,2025-01-28,ACTIVO
395,Cliente 395,cliente395@poc.local,2025-01-29,ACTIVO
396,Cliente 396,cliente396@poc.local,2025-01-30,ACTIVO
397,Cliente 397,cliente397@poc.local,2025-01-31,ACTIVO
398,Cliente 398,cliente398@poc.local,2025-02-01,ACTIVO
399,Cliente 399,cliente399@poc.local,2025-02-02,ACTIVO
400,Cliente 400,cliente400@poc.local,2025-02-03,SUSPENDIDO
401,Cliente 401,cliente401@poc.local,2025-02-04,ACTIVO
402,Cliente 402,cliente402@poc.local,2025-02-05,ACTIVO
403,Cliente 403,cliente403@poc.local,2025-02-06,ACTIVO
404,Cliente 404,cliente404@poc.local,2025-02-07,ACTIVO
405,Cliente 405,cliente405@poc.local,2025-02-08,ACTIVO
406,Cliente 406,cliente406@poc.local,2025-02-09,ACTIVO
407,Cliente 407,cliente407@poc.local,2025-02-10,ACTIVO
408,Cliente 408,cliente408@poc.local,2025-02-11,ACTIVO
409,Cliente 409,cliente409@poc.local,2025-02-12,ACTIVO
410,Cliente 410,cliente410@poc.local,2025-02-13,INACTIVO
411,Cliente 411,cliente411@poc.local,2025-02-14,ACTIVO
412,Cliente 412,cliente412@poc.local,2025-02-15,ACTIVO
413,Cliente 413,cliente413@poc.local,2025-02-16,ACTIVO
414,Cliente 414,cliente414@poc.local,2025-02-17,ACTIVO
415,Cliente 415,cliente415@poc.local,2025-02-18,ACTIVO
416,Cliente 416,cliente416@poc.local,2025-02-19,ACTIVO
417,Cliente 417,cliente417@poc.local,2025-02-20,ACTIVO
418,Cliente 418,cliente418@poc.local,2025-02-21,ACTIVO
419,Cliente 419,cliente419@poc.local,2025-02-22,ACTIVO
420,Cliente 420,cliente420@poc.local,2025-02-23,SUSPENDIDO
